category,serial,title,composer,arranger,lyrics,translator,language,voicing,with_boys,accompanied,instruments,music_present,original_piece,recording_link,comments
ד,35,meelo moo kokkino,אנונימי,אנונימי,אנונימי,,יוונית,SATB,TRUE,None,,TRUE,FALSE,,מאזור מקדוניה
ד,36,Mera Mayoo,Mikis Theodorakis,,Yiannis Ritsos,,יוונית,SATB,TRUE,None,,TRUE,FALSE,,
ד,37,lemonaki,אנונימי,Eleftherios Floros,אנונימי,,יוונית,SATB,TRUE,None,,TRUE,FALSE,,
ד,38,Erini,אנונימי,Yiannis Konstantinidis,אנונימי,,יוונית,SATB,TRUE,None,,TRUE,FALSE,,
ד,39,aya marina,אנונימי ,Alkis Baltas,אנונימי,,יוונית,SATB,TRUE,None,,TRUE,FALSE,,שיר ערש מקפריסין
ד,40,Arnissi ,Mikis Theodorakis,,Giorgos Seferis,,יוונית,SATB,TRUE,None,,TRUE,FALSE,,
ד,41,צימוקים ושקדים,אברהם גולדפאדן,מ. יעקבסון,אברהם גולדפאדן,משה גורלי,יידיש / עיברית,SA,FALSE,None,,TRUE,FALSE,,התרגום העיברי לוקה בחסר
ד,42,avre tu,אנונימי,דפנה דורי,אנונימי,,לדינו,SSA,FALSE,None,,TRUE,FALSE,,
ד,43,Durme durme,אנונימי,גיל אלדמע,אנונימי,עמנואל כץ,לדינו,SATB,TRUE,None,,TRUE,FALSE,,
ד,44,שיר אביב ארמני,אנונימי,Edvard Mirzoyan,אנונימי,,ארמנית,SSAA,FALSE,None,,TRUE,FALSE,,
ד,45,קיליקיה,אנונימי,Yevand Yerkanyan,אנונימי,,ארמנית,SSAA,FALSE,None,,TRUE,FALSE,,
ד,46,nubar,אנונימי,Tatul Altunyan,אנונימי,,ארמנית,SSA,FALSE,None,,TRUE,FALSE,,
ד,47,mush,אנונימי,Stepan Shaqaryan,אנונימי,,ארמנית,SSAA,FALSE,Obligato,"פסנתר, צ'לו, משולש, תוף",TRUE,FALSE,,
ד,48,la moncha blanca,אנונימי,Christy Elsner,אנונימי,,ספרדית,SSA,FALSE,None,,TRUE,FALSE,,"שיר עם מגוואטמלה, על הפרח הלאומי הסחלב הלבן"
ד,49,lamma ba'ada,אנונימי,Shireen Abu-Khader,אנונימי,,ערבית,SATB,TRUE,None,,TRUE,FALSE,,
ד,50,הבה נגילה (י. חן),אנונימי,"דניאל פקטורי, יהודית חן",אנונימי,,עיברית,SSA,FALSE,None,,TRUE,FALSE,,"מבוסס על ניגון חסידי מאוקראינה, תחרות הלחנה ע""י אידלסון ותלמידי החזנות שלו גורם לחוסר בהירות מי אחראי על מה"
ד,51,Sona Yar,אנונימי,אנונימי,אנונימי,,ארמנית,SAA,FALSE,None,,TRUE,FALSE,,
ד,52,Duerme Negrito,Atahualpa Yupanqui ,Emilio Sole,אנונימי,,ספרדית,SSA + solo,FALSE,None,,TRUE,FALSE,,
ד,53,Romancero de Niños,Camilo Matta,,Antonio Esteban Agüero,,,SSA,FALSE,Optional,כלי הרמוני,TRUE,FALSE,,
ד,54,אלפונסינה והים,Ariel Ramírez,פנינה ענבר,Félix Luna,,ספרדית,SSA,FALSE,None,,TRUE ,FALSE,,
ה,1,viva la musica,Laura Shur,,,,איטלקית,SSA,FALSE,None,,TRUE ,FALSE,,
ה,2,Jaakobin pojat,Pekka Kostianen,,Pekka Kostianen,,אסטונית,SSSAA,FALSE,None,,TRUE ,FALSE,,
ה,3,the land of music,Ilkka Kuusisto,,Sheldon Harnick,,,SSAA(B),TRUE,None,,TRUE ,FALSE,,
ה,4,Wainamoinen makes music,Zoltan Kodaly,,"Kalevala, the land of heros (rune 64)",William Forsell Kirby,אנגלית,SSAA,FALSE,TRUE,פסנתר,TRUE ,FALSE,,
ה,5,a wise old owl lived in an oak,עודד בן עמי,,Edward Hersey Richards,,אנגלית,SAB,TRUE,None,,TRUE ,FALSE,,
ה,6,Frolich sein und singen,Horst Irrgang,,Horst Irrgang,,גרמנית,SSAA,FALSE,None,,TRUE ,FALSE,,
ה,7,Runaround Sue,"	Dion DiMucci, Ernie Maresca",שמעון סמית,"Dion DiMucci, Ernie Maresca",,אנגלית,SAB + solo,TRUE,None,,TRUE ,TRUE,,
ה,8,dream a little dream of me,Gus Kahn,Carsten Gerlitz,"Fabian Andre, Wilbur Schwandt",,אנגלית,SAB,TRUE,Optional,כלי הרמוני,TRUE ,FALSE,,
ה,9,Arbol de cancion,דינה סמורגונסקיה,,Federico García Lorca,,ספרדית,SSAB,TRUE,None,,TRUE ,FALSE,,
ה,10,La Guitarra,דינה סמורגונסקיה,,Federico García Lorca,,ספרדית,SSAB,TRUE,,,TRUE ,FALSE,,
ה,11,Fifty ways to leave your lover,Paul Simon,שמעון סמית,Paul Simon,,אנגלית,SAB + Solo,TRUE,Obligato,"חצוצרה, טרומבון",TRUE ,TRUE,,
ה,12,Paperback writer,"John Lenon, Paul McCartney",שמעון סמית,"John Lenon, Paul McCartney",,אגלית,SAB,TRUE,Optional,גיטרה בס,TRUE ,TRUE,,
